"","NGO","StartDate","EndDate","USD","Title","Details","Report","Fund","Continent","Country","SpeciesClass","isCWA","phase","More","euroContribution","euroTotal","URL","ID","Ref","Pounds","CentralWestAfrica"
"1","Africa Environmental News Service","2003-01-01 00:00:00.0","2004-03-30 00:00:00.0","10000","Africa Environmental News Service: Phase Two â E-Commerce Development and Market Research","Develop a business plan for a new environmental news service designed to serve African and global audiences. The project will take place during the second phase of an AENS project to develop the news service.","- Final report (PDF - 29.1 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"2","Afrique Nature International","2005-03-01 00:00:00.0","2005-06-30 00:00:00.0","14876","West African Vulture Survey","Conduct a survey of vultures in northern Guinea, Ghana and Togo that complements a 2003-2004 census undertaken in neighboring countries to ascertain status and range of West African vulture species and determine the main factors responsible for the declines in these species. The project will also survey diurnal raptors, and is one of the priority actions of the new West African Vulture Conservation Program.","- Final report (PDF - 28.6 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"3","Afrique Nature International","2003-03-01 00:00:00.0","2005-05-31 00:00:00.0","9100","Engaging the Private Sector in Conservation in CÃ´te dâIvoire","Involve the private sector in conservation activities through public awareness tools such as a brochure and flyer for decisionmakers in the private sector and through meetings with private sector players.","- Final report, FranÃ§ais (PDF - 33 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"4","AGORO Centre for Intercultural Learning and Talent Development","2004-11-01 00:00:00.0","2005-12-31 00:00:00.0","44958","Echoes of the Rain Forest Project â Second Phase","Develop and support eco-cultural groups in three communities near the eastern and western boundaries of Kakum National Park in Ghana to disseminate conservation messages to local communities, school groups and wildlife clubs through music, dance, and drama.","- Final report (PDF - 195 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"5","AGORO Centre for Intercultural Learning and Talent Development","2002-10-01 00:00:00.0","2003-09-30 00:00:00.0","9900","Echoes of the Rain Forest","Recruit talented local performance artists in eight communities surrounding National Kakum Park to be part of community performance groups who will inform target communities on issues related to biodiversity conservation through the use of music, dance and drama.","- Final report (PDF - 12.2 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"6","Arizona State University","2005-07-01 00:00:00.69","2009-09-30 00:00:00.69","34000","Small Grants for Global Conservation of Amphibian Diversity within Hotspots","Develop and implement the Amphibian Action Fund aimed at the long-term conservation of amphibian species, and their habitats, within biodiversity hotspots around the globe.  This fund will make available small grants of up to $10,000 to be awarded to individuals and groups working within the hotspots on targeted amphibian conservation activities.","- Final report, English (PDF - 25 KB)- Final report, English (PDF - 108 KB)- Final report, Conservation Status of Chinese Giant Salamander, English (PDF - 2.53 MB)- Final report, Conservation of Caecilians in the Eastern Himalayas Region, English (PDF - 6.72 MB)- Final report, Restoration of Sagalla Hill with a view to creating a sustainable future for the Critically Endangered caecilian Boulengerula niedeni, English (PDF - 7.76 MB)- Final report, Riqueza, Diversidad y Estatus de los Anfibios Amenazados en el Sureste de Mexico; una Evaluacion para Determinar las Posibles Causas de la Declinacion de Sus Poblaciones, EspaÃ±ol (PDF - 3.71 MB)- Final report, Assessment of endangered and endemic amphibians in the forests of southern Ghana, English (PDF - 808 KB)- Final report, Threatened amphibians in the Succulent Karoo Hotspot: An integrated approach to their conservation, English (PDF - 32 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"7","Association of Environmental Lawyers of Liberia","2004-01-01 00:00:00.0","2004-12-31 00:00:00.0","40000","Improving Implementation of Environmental Legislation in Liberia","Improve institutional capacity of this association, also known as Green Advocates, through review of existing biodiversity legislation, raising awareness about environmental laws and enforcement, training a number of lawyers in environmental law and motivating local communities to conserve biodiversity.","- Final report (PDF - 205 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"8","Association of Environmental Lawyers of Liberia","2001-08-20 00:00:00.0","2002-08-20 00:00:00.0","11215","Strengthening Legal Capacity for Biodiversity Conservation and Management in Liberia through Training, Local Capacity Building and Institutional Strengthening","Co-finance a Liberian environmental lawyer to pursue a graduate program in environmental law at Tulane University.","- No final report is available for this project.","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"9","Association pour la Gestion IntÃ©grÃ©e et Durable de l'Environnement","2003-10-01 00:00:00.0","2004-12-31 00:00:00.0","9800","Inventory of Butterflies in the Missahoe Classified Forest in Togo, Upper Guinea Forest","In the Foret Classee of Missahoe, Togo, conduct an inventory of butterflies, prepare an ecotourism management plan for the area and sensitize 11 adjacent villages on revenue-generating activities that do not degrade the environment.","- Final report, FranÃ§ais (PDF - 854 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"10","BirdLife International","2002-01-01 00:00:00.0","2005-03-31 00:00:00.0","655312","Building Capacity for Biodiversity Conservation in West Africa","Conduct capacity building with partner organizations in Ghana and Sierra Leone to improve capacity for biodiversity conservation and the development of conservation programs with national organizations in CÃ´te D'Ivoire, Guinea and Liberia.","- Final report (PDF - 73.5 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
